"icd","icddesc","icdvers","hcc2013","hccesrd","hcc","rxhcc","inhcc2013","inhccesrd","inhcc","inrxhcc","year"
"0031","Salmonella septicemia ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"00322","Salmonella pneumonia ",9,112,115,115,,"Yes","Yes","Yes","No",2014
"00323","Salmonella arthritis ",9,37,39,39,,"Yes","Yes","Yes","No",2014
"00324","Salmonella osteomyelitis",9,37,39,39,,"Yes","Yes","Yes","No",2014
"0064","Amebic lung abscess ",9,112,115,115,106,"Yes","Yes","Yes","Yes",2014
"0074","Cryptosporidiosis ",9,5,6,6,5,"Yes","Yes","Yes","Yes",2014
"0202","Septicemic plague ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"0203","Primary pneumonic plague",9,112,115,115,,"Yes","Yes","Yes","No",2014
"0204","Secondary pneumon plague",9,112,115,115,,"Yes","Yes","Yes","No",2014
"0205","Pneumonic plague NOS ",9,112,115,115,,"Yes","Yes","Yes","No",2014
"0212","Pulmonary tularemia ",9,112,115,115,,"Yes","Yes","Yes","No",2014
"0221","Pulmonary anthrax ",9,112,115,115,,"Yes","Yes","Yes","No",2014
"0223","Anthrax septicemia ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"0310","Pulmonary mycobacteria ",9,5,6,6,5,"Yes","Yes","Yes","Yes",2014
"0312","DMAC bacteremia ",9,5,6,6,5,"Yes","Yes","Yes","Yes",2014
"03283","Diphtheritic peritonitis",9,31,33,33,,"Yes","Yes","Yes","No",2014
"0362","Meningococcemia ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"0363","Meningococc adrenal synd",9,,23,23,19,"No","Yes","Yes","Yes",2014
"03682","Meningococc arthropathy ",9,37,39,39,,"Yes","Yes","Yes","No",2014
"0380","Streptococcal septicemia",9,2,2,2,,"Yes","Yes","Yes","No",2014
"03810","Staphylcocc septicem NOS",9,2,2,2,,"Yes","Yes","Yes","No",2014
"03811","Meth susc Staph aur sept",9,2,2,2,,"Yes","Yes","Yes","No",2014
"03812","MRSA septicemia ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"03819","Staphylcocc septicem NEC",9,2,2,2,,"Yes","Yes","Yes","No",2014
"0382","Pneumococcal septicemia ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"0383","Anaerobic septicemia ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"03840","Gram-neg septicemia NOS ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"03841","H. influenae septicemia ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"03842","E coli septicemia ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"03843","Pseudomonas septicemia ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"03844","Serratia septicemia ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"03849","Gram-neg septicemia NEC ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"0388","Septicemia NEC ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"0389","Septicemia NOS ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"0391","Pulmonary actinomycosis ",9,112,115,115,,"Yes","Yes","Yes","No",2014
"0400","Gas gangrene ",9,104,106,106,,"Yes","Yes","Yes","No",2014
"0402","Whipple's disease ",9,32,,,31,"Yes","No","No","Yes",2014
"04082","Toxic shock syndrome ",9,2,2,2,,"Yes","Yes","Yes","No",2014
"042","Human immuno virus dis ",9,1,1,1,1,"Yes","Yes","Yes","Yes",2014
"0460","Kuru ",9,,52,,55,"No","Yes","No","Yes",2014
"04611","Varnt Creutzfeldt-Jakob ",9,,52,,55,"No","Yes","No","Yes",2014
"04619","Creutzfldt-Jakob NEC/NOS",9,,52,,55,"No","Yes","No","Yes",2014
"0462","Subac scleros panenceph ",9,,52,,55,"No","Yes","No","Yes",2014
"0463","Prog multifoc leukoencep",9,,52,,55,"No","Yes","No","Yes",2014
